reaction,download_url,T2,λ2,author_year,comments,λ1,name,doi,T1,fname
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_Calvert(1972)_298K_290-360nm.txt,NaN,360.0,Calvert(1972),p=20 mb,290.0,formaldehyde → H+HCO, https://doi.org/10.1126/science.175.4023.751,298.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_Calvert(1972)_298K_290-360nm.csv
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_Clark(1978)_294K_299.1-339.2nm.txt,NaN,339.2,Clark(1978),,299.1,formaldehyde → H+HCO, https://doi.org/10.1063/1.435848,294.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_Clark(1978)_294K_299.csv
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_Gorrotxategi-Carbajo(2008)_294K_303.70-329.51nm.txt,NaN,329.51,Gorrotxategi-Carbajo(2008),Cavity ring down measurements of HCO from HCHO→ HCO + H,303.7,formaldehyde → H+HCO, https://doi.org/10.1021/jp8070508,294.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_Gorrotxategi-Carbajo(2008)_294K_303.csv
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_HorowitzCalvert(1978)_298K_289-338nm.txt,NaN,338.0,HorowitzCalvert(1978),p = 13 mb,289.0,formaldehyde → H+HCO, https://doi.org/10.1002/kin.550100803,298.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_HorowitzCalvert(1978)_298K_289-338nm.csv
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_Lewis(1976)_296K_284-339nm.txt,NaN,339.0,Lewis(1976),,284.0,formaldehyde → H+HCO, https://doi.org/10.1063/1.433399,296.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_Lewis(1976)_296K_284-339nm.csv
CH2O → H+HCO,"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_LewisLee(1978)_296K_275.4,288.2,303.5nm.txt",NaN,288.2,LewisLee(1978),,275.4,formaldehyde → H+HCO, https://doi.org/10.1021/j100492a001,296.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_LewisLee(1978)_296K_275.csv
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_Marling(1977)_298K_304-337.8nm.txt,NaN,337.8,Marling(1977),,304.0,formaldehyde → H+HCO, https://doi.org/10.1063/1.434496,298.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_Marling(1977)_298K_304-337.csv
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_McQuiggCalvert(1969)_353pm20K_279.6-369.4nm.txt,NaN,369.4,McQuiggCalvert(1969),,279.6,formaldehyde → H+HCO, https://doi.org/10.1021/ja01035a002,353.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_McQuiggCalvert(1969)_353pm20K_279.csv
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_Moortgat(1983)_220K_270.6-353.1nm.txt,NaN,353.1,Moortgat(1983),,270.6,formaldehyde → H+HCO, https://doi.org/10.1063/1.444911,220.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_Moortgat(1983)_220K_270.csv
CH2O → H+HCO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Organics%20(carbonyls)/Aldehydes(aliphatic)/CH2O%7BH+HCO%7D_Moortgat(1983)_298K_253-353nm.txt,NaN,353.0,Moortgat(1983),,253.0,formaldehyde → H+HCO, https://doi.org/10.1063/1.444911,298.0,quantum-yields/Organics (carbonyls)/Aldehydes(aliphatic)/CH2O → H+HCO/CH2O{H+HCO}_Moortgat(1983)_298K_253-353nm.csv
