λ,Φ,ΔΦ,species
268.75,0.41,0.06,H
278.75,0.55,0.06,H
283.75,0.65,0.07,H
288.75,0.72,0.07,H
293.75,0.67,0.07,H
298.75,0.62,0.07,H
301.75,0.7,0.11,H
303.75,0.753,NaN,H
306.25,0.66,0.07,H
308.75,0.71,0.08,H
311.25,0.68,0.09,H
313.75,0.69,0.07,H
316.25,0.65,0.07,H
321.25,0.64,0.08,H
326.25,0.51,0.05,H
328.75,0.36,0.04,H
331.25,0.46,0.06,H
333.75,0.3,0.07,H
336.25,0.07,0.01,H
338.75,0.04,0.01,H
268.75,0.41,0.06,HCO
278.75,0.55,0.06,HCO
283.75,0.65,0.07,HCO
288.75,0.72,0.07,HCO
293.75,0.67,0.07,HCO
298.75,0.62,0.07,HCO
301.75,0.7,0.11,HCO
303.75,0.753,NaN,HCO
306.25,0.66,0.07,HCO
308.75,0.71,0.08,HCO
311.25,0.68,0.09,HCO
313.75,0.69,0.07,HCO
316.25,0.65,0.07,HCO
321.25,0.64,0.08,HCO
326.25,0.51,0.05,HCO
328.75,0.36,0.04,HCO
331.25,0.46,0.06,HCO
333.75,0.3,0.07,HCO
336.25,0.07,0.01,HCO
338.75,0.04,0.01,HCO
