reaction,download_url,T2,λ2,author_year,comments,λ1,name,doi,T1,fname
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Armerding(1995)_298K_300-355nm.txt,NaN,355.0,Armerding(1995),,300.0,ozone → O(1D)+O2, https://doi.org/10.1021/j100010a025,298.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Armerding(1995)_298K_300-355nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Ball(1997)_298K_300-338nm.txt,NaN,338.0,Ball(1997),,300.0,ozone → O(1D)+O2, https://doi.org/10.1016/S0009-2614(96)01363-2,298.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Ball(1997)_298K_300-338nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_BallHancock(1995)_227K_300-322nm.txt,NaN,322.0,BallHancock(1995),Preliminary publication:,300.0,ozone → O(1D)+O2, https://doi.org/10.1029/95GL01007,227.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_BallHancock(1995)_227K_300-322nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_BallHancock(1995)_298K_300-325nm.txt,NaN,325.0,BallHancock(1995),Data from diagram,300.0,ozone → O(1D)+O2, https://doi.org/10.1029/95GL01007,298.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_BallHancock(1995)_298K_300-325nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Bauer(2000)_273K_304-340nm.txt,NaN,340.0,Bauer(2000),Data from diagram ,304.0,ozone → O(1D)+O2, https://doi.org/10.1039/B000159G,273.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Bauer(2000)_273K_304-340nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Bauer(2000)_295K_305-375nm.txt,NaN,375.0,Bauer(2000),,305.0,ozone → O(1D)+O2, https://doi.org/10.1039/B000159G,295.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Bauer(2000)_295K_305-375nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_BrockWatson(1980)_298K_297.5-325nm.txt,NaN,325.0,BrockWatson(1980),,297.5,ozone → O(1D)+O2, https://doi.org/10.1016/0301-0104(80)85223-2,298.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_BrockWatson(1980)_298K_297.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Cooper(1993)_295K_221.5-243.5nm.txt,NaN,243.5,Cooper(1993),,221.5,ozone → O(1D)+O2, https://doi.org/10.1029/93JD00763,295.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Cooper(1993)_295K_221.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Matsumi(2002)_203K_220-340nm.txt,NaN,340.0,Matsumi(2002),Evaluation paper of O(,220.0,ozone → O(1D)+O2, https://doi.org/10.1029/2001JD000510,203.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.csv
O3 → O(1D)+O2,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Ozone/O3%7BO(1D)+O2%7D_Matsumi(2002)_223K_220-340nm.txt,NaN,340.0,Matsumi(2002),Evaluation paper of O(,220.0,ozone → O(1D)+O2, https://doi.org/10.1029/2001JD000510,223.0,quantum-yields/Ozone/O3 → O(1D)+O2/O3{O(1D)+O2}_Matsumi(2002)_223K_220-340nm.csv
