is_integrated,varname,printname
1,TBUT2ENE,t-but2ene
1,CPENT2ENE,c-pent2ene
1,TPENT2ENE,t-pent2ene
1,CHEX2ENE,c-hex2ene
1,THEX2ENE,t-hex2ene
1,MEPROPENE,methylpropene
1,RI12O2,RI_{12}O_2
1,ME2BUT1ENE,2-methylbut1ene
1,ME3BUT1ENE,3-methylbut1ene
1,RI15O2,RI_{15}O_2
1,ME2BUT2ENE,2-methylbut2ene
1,NRN6O2,NRN_6O_2
1,NRN9O2,NRN_9O_2
1,NRN12O2,NRN_{12}O_2
1,NRN15O2,NRN_{15}O_2
1,NRN18O2,NRN_{18}O_2
1,NRI12O2,NRI_{12}O_2
1,NRI15O2,NRI_{15}O_2
1,MeCHO,CH_3CHO
1,EtCHO,C_2H_5CHO
1,MeCO2H,CH_3CO_2H
1,Me2CO,CH_3COCH_3
1,CARB11,CARB11
1,CARB14,CARB14
1,C4H6,C_4H_6
1,RN11O2,RN_{11}O_2
1,C5H8,C_5H_8
1,RN14O2,RN_{14}O_2
1,NRN11O2,NRN_{11}O_2
1,NRN14O2,NRN_{14}O_2
1,RT28O2,RT_{28}O_2
1,NRT28O2,NRT_{28}O_2
1,CARB17,CARB17
1,BENZENE,benzene
1,TOLUENE,toluene
1,OXYL,o-xylene
1,RN21O2,RN_{21}O_2
1,MXYL,m-xylene
1,PXYL,p-xylene
1,EBENZ,ethylbenzene
1,PBENZ,n-propylbenzene
1,RN24O2,RN_{24}O_2
1,IPBENZ,i-propylbenzene
1,RI24O2,RI_{24}O_2
1,TM123B,"1,2,3-trimethylbenzene"
1,TM124B,"1,2,4-trimethylbenzene"
1,TM135B,"1,3,5-trimethylbenzene"
1,OETHTOL,o-ethyltoluene
1,METHTOL,m-ethyltoluene
1,PETHTOL,p-ethyltoluene
1,DIME35EB,"3,5dimethylethylbenzene"
1,RN27O2,RN_{27}O_2
1,DIET35TOL,"3,5-diethyltoluene"
1,RN30O2,RN_{30}O_2
1,RE2O2,RE_2O_2
1,C2H2,C_2H_2
1,C3H7CHO,C_3H_7CHO
1,IPRCHO,i-butanal
1,C4H9CHO,C_4H_9CHO
1,MeCO3,CH_3CO_3
1,CH2OO,HCOOH
1,RN8O2,RN_8O_2
1,MEK,2-butanone
1,MPRK,2-pentanone
1,DIEK,diethylketone
1,MIPK,3-methylbutanone
1,HEX2ONE,hex2one
1,HEX3ONE,hex3one
1,MIBK,4-methylpentan2one
1,MTBK,"3,3-dimethylbutan2one"
1,CYHEXONE,cyclohexanone
1,RN17O2,RN_{17}O_2
1,EtOH,C_2H_5OH
1,NPROPOL,n-propanol
1,IPROPOL,i-propanol
1,NBUTOL,n-butanol
1,BUT2OL,butan2ol
1,IBUTOL,i-butanol
1,TBUTOL,t-butanol
1,PECOH,pentan3ol
1,IPEAOH,2-methylbutan1ol
1,ME3BUOL,3-methylbutan1ol
1,IPECOH,2-methylbutan2ol
1,IPEBOH,3-methylbutan2ol
1,CYHEXOL,cyclohexanol
1,MIBKAOH,diacetone-alcohol
1,ETHGLY,ethane-diol
1,PROPGLY,"1,2-propane-diol"
1,CH3OCHO,CH_3OCHO
1,DIETETHER,diethylether
1,RE5O2,RE_5O_2
1,FM1,FM1
1,MTBE,methyl-t-butylether
1,FM2,FM2
1,DIIPRETHER,di-isopropylether
1,ETBE,ethyl-tbutylether
1,MO2EOL,2-methoxyethanol
1,EOX2EOL,2-ethoxyethanol
1,PR2OHMOX,2-methoxypropanol
1,BUOX2ETOH,2-butoxyethanol
1,BOX2PROL,2-butoxypropanol
1,METHACET,methylacetate
1,ETHACET,ethylacetate
1,NPROACET,n-propylacetate
1,IPROACET,i-propylacetate
1,NBUTACET,n-butylacetate
1,SBUTACET,2-butylacetate
1,TBUACET,t-butylacetate
1,PROPACID,propanoic acid
1,DMM,dimethoxymethane
1,DMC,dimethoxycarbonate
1,CH3Cl,CH_3Cl
1,CH2Cl2,CH_2Cl_2
1,CHCl3,CHCl_3
1,CH3CCl3,CH_3CCl_3
1,TCE,C_2Cl_4
1,TRIClETH,C_2HCl_3
1,CDIClETH,c-C_2H_2Cl_2
1,TDIClETH,t-C_2H_2Cl_2
1,EtONO2,C_2H_5NO_3
1,RN10NO3,RN_{10}NO_3
1,IC3H7NO3,iC_3H_7NO_3
1,RN13NO3,RN_{13}NO_3
1,RN16NO3,RN_{16}NO_3
1,RN19NO3,RN_{19}NO_3
1,RN22NO3,RN_{22}NO_3
1,RN25NO3,RN_{25}NO_3
1,RN28NO3,RN_{28}NO_3
1,RN31NO3,RN_{31}NO_3
1,RN34NO3,RN_{34}NO_3
1,RN37NO3,RN_{37}NO_3
1,RI13NO3,RI_{13}NO_3
1,RI16NO3,RI_{16}NO_3
1,HOC2H4NO3,HOC_2H_4NO_3
1,RN9NO3,RN_9NO_3
1,RN12NO3,RN_{12}NO_3
1,RN15NO3,RN_{15}NO_3
1,RN18NO3,RN_{18}NO_3
1,RN21NO3,RN_{21}NO_3
1,RN24NO3,RN_{24}NO_3
1,RN27NO3,RN_{27}NO_3
1,RN30NO3,RN_{30}NO_3
1,RI12NO3,RI_{12}NO_3
1,RI15NO3,RI_{15}NO_3
1,RI24NO3,RI_{24}NO_3
1,RE2NO3,RE_2NO_3
1,RE5NO3,RE_5NO_3
1,RT28NO3,RT_{28}NO_3
1,EtOOH,C_2H_5OOH
1,RN10OOH,RN_{10}OOH
1,IC3H7OOH,iC_3H_7OOH
1,RN13OOH,RN_{13}OOH
1,RN16OOH,RN_{16}OOH
1,RN19OOH,RN_{19}OOH
1,RN22OOH,RN_{22}OOH
1,RN25OOH,RN_{25}OOH
1,RN28OOH,RN_{28}OOH
1,RN31OOH,RN_{31}OOH
1,RN34OOH,RN_{34}OOH
1,RN37OOH,RN_{37}OOH
1,RI13OOH,RI_{13}OOH
1,RI16OOH,RI_{16}OOH
1,MeCO3H,CH_3CO_3H
1,RN8OOH,RN_8OOH
1,RN11OOH,RN_{11}OOH
1,RN14OOH,RN_{14}OOH
1,RN17OOH,RN_{17}OOH
1,HOC2H4OOH,HOC_2H_4OOH
1,RN9OOH,RN_9OOH
1,RN12OOH,RN_{12}OOH
1,RN15OOH,RN_{15}OOH
1,RN18OOH,RN_{18}OOH
1,RN21OOH,RN_{21}OOH
1,RN24OOH,RN_{24}OOH
1,RN27OOH,RN_{27}OOH
1,RN30OOH,RN_{30}OOH
1,RI12OOH,RI_{12}OOH
1,RI15OOH,RI_{15}OOH
1,RI24OOH,RI_{24}OOH
1,RE2OOH,RE_2OOH
1,RE5OOH,RE_5OOH
1,RT28OOH,RT_{28}OOH
1,NRN6OOH,NRN_6OOH
1,NRN9OOH,NRN_9OOH
1,NRN12OOH,NRN_{12}OOH
1,NRN15OOH,NRN_{15}OOH
1,NRN18OOH,NRN_{18}OOH
1,NRI12OOH,NRI_{12}OOH
1,NRI15OOH,NRI_{15}OOH
1,NRN11OOH,NRN_{11}OOH
1,NRN14OOH,NRN_{14}OOH
1,NRT28OOH,NRT_{28}OOH
1,PAN,PAN
1,APINENE,aPinene
1,BPINENE,bPinene
1,NA,NA
1,SO2,SO2
1,SO3,SO3
1,HSO3,HSO3
1,SA,SA
1,CH3OCH3,CH3OCH3
1,C2H5O2,C2H5O2
1,HOCH2CH2O2,HOCH2CH2O2
1,CH3CHO,CH3CHO
1,C2H5CHO,C2H5CHO
1,CH3CO2H,CH3CO2H
1,CH3COCH3,CH3COCH3
1,CH3CO3,CH3CO3
1,HCOOH,HCOOH
1,C2H5OH,C2H5OH
1,CH3NO3,CH3NO3
1,C2H5NO3,C2H5NO3
1,C2H5OOH,C2H5OOH
1,CH3CO3H,CH3CO3H
1,CN,CN
1,NCO,NCO
1,HCN,HCN
1,MeCN,CH_3CN
1,Ar+,Ar^+
1,O2+,O_2^+
1,N2+,N_2^+
1,CO2+,CO_2^+
1,H3O+,H_3O^+
1,CO+,CO^+
1,N+,N^+
1,NO+,NO^+
1,O+,O^+
1,H3O+OH,H_3O^+OH
1,CO2+CO2,CO_2^+CO_2
1,O2+O2,O_2^+O_2
1,H3O+H2O,H_3O^+(H_2O)
1,H3O+H2OH2O,H_3O^+(H_2O)_2
1,H3O+3H2O,H_3O^+(H_2O)_3
1,H3O+4H2O,H_3O^+(H_2O)_4
1,O2+CO2,O_2^+(CO_2)
1,O2+CO2CO2,O_2^+(CO_2)_2
1,O2+H2O,O_2^+(H_2O)
1,O2+H2OH2O,O_2^+(H_2O)_2
1,e-,e^-
1,O-,O^-
1,O2-,O_2^-
1,O3-,O_3^-
1,O4-,O_4^-
1,OH-,OH^-
1,O2-H2O,O_2^-(H2O)
1,CO3-,CO_3^-
1,CO4-,CO_4^-
1,CO3-H2O,CO_3^-(H2O)
1,CO3-H2OH2O,CO_3^-(H2O)_2
1,NO2-,NO_2^-
1,NO3-,NO_3^-
1,NO2-H2O,NO_2^-(H2O)
1,NO2-H2OH2O,NO_2^-(H2O)_2
1,NO3-H2O,NO_3^-(H2O)
1,NO3-H2OH2O,NO_3^-(H2O)_2
1,Cl-,Cl^-
1,IO,IO
1,I2,I_2
1,I,I
1,HOI,HOI
1,INO,INO
1,IONO,IONO
1,ICl,ICl
1,IONO2,IONO_2
1,OIO,OIO
1,MeBr,CH_3Br
1,HCO2H,HCO2H
1,NC3H7OO,NC_3H_7OO
1,IC3H7OO,IC_3H_7OO
1,NC3H7OOH,NC_3H_7OOH
1,EtCO3,EtCO_3
1,PPAN,PPAN
1,PERPROACID,PERPROACID
1,MeCOCH2OO,MeCOCH_2OO
1,HYPERACET,HYPERACET
1,MGLYOX,MGLYOX
1,GLYOX,GLYOX
1,HYETHO2H,HYETHO_2H
1,HOCH2CHO,HOCH_2CHO
1,HOCH2CO3,HOCH_2CO_3
1,HOCH2CO2H,HOCH_2CO_2H
1,HOCH2CO3H,HOCH_2CO_3H
1,PHAN,PHAN
1,ETHENO3O2,ETHENO_3O_2
1,ETHO2HNO3,ETHO_2HNO_3
1,NO3CH2CHO,NO_3CH_2CHO
1,NO3CH2CO3,NO_3CH_2CO_3
1,NO3CH2PAN,NO_3CH_2PAN
1,NO3CH2CO3H,NO_3CH_2CO_3H
1,NO3CH2CO2H,NO_3CH_2CO_2H
1,GLYPAN1,GLYPAN1
1,HCOCO3,HCOCO_3
1,HYPROPOO,HYPROPOO
1,HYPROPOOH,HYPROPOOH
1,ACETOL,ACETOL
1,MeCHOO,MeCHOO
1,PRONO3AOO,PRONO_3AOO
1,PRONO3BOO,PRONO_3BOO
1,PRONO3AOOH,PRONO_3AOOH
1,PRONO3BOOH,PRONO_3BOOH
1,CHOPRNO3,CHOPRNO_3
1,PRNO3CO3,PRNO_3CO_3
1,PRNO3PAN,PRNO_3PAN
1,PRNO3CO3H,PRNO_3CO_3H
1,NOA,NOA
1,DMS,DMS
1,DMSO,DMSO
1,MeSCH2OO,CH_3SCH_2OO
1,MeS,CH_3S
1,MeSOO,CH_3SOO
1,MeSOOO,CH_3SOOO
1,MeSO2OO,MeSO_2OO
1,MeSCH2OOH,CH_3SCH_2OOH
1,MeSO,CH_3SO
1,MeSO3,CH_3SO_3
1,MSA,MSA
1,MeSO2,CH_3SO_2
1,MeSO2CH2O2,MeSO_2CH_2O_2
1,MeSO2CH2HP,MeSO_2CH_2HP
1,IBr,IBr
1,SC4H9OO,SC_4H_9OO
1,SC4H9OOH,SC_4H_9OOH
1,IC4H9OO,IC_4H_9OO
1,TC4H9OO,TC_4H_9OO
1,IC4H9OOH,IC_4H_9OOH
1,TC4H9OOH,TC_4H_9OOH
1,IPRCO3,IPRCO_3
1,PERIBUACID,PERIBUACID
1,IBUTACID,IBUTACID
1,IPRPAN,IPRPAN
1,PEBOO,PEBOO
1,PECOO,PECOO
1,PEBOOH,PEBOOH
1,PECOOH,PECOOH
1,IPEBOO,IPEBOO
1,IPECOO,IPECOO
1,IPEBOOH,IPEBOOH
1,IPECOOH,IPECOOH
1,NBUTOLAOO,NBUTOLAOO
1,NBUTOLAOOH,NBUTOLAOOH
1,NO3BU1EOO,NO3BU1EOO
1,NO3BU1EOOH,NO3BU1EOOH
1,OOBU1ENO3,OOBU1ENO_3
1,HOOBU1ENO3,HOOBU1ENO3
1,CO3C4NO3,CO3C4NO3
1,BUTAL2NO3,BUTAL2NO3
1,BUT2OLOO,BUT2OLOO
1,BUT2OLOOH,BUT2OLOOH
1,C42NO33OO,C42NO33OO
1,C42NO33OOH,C42NO33OOH
1,IBUTOLBOO,IBUTOLBOO
1,IBUTOLBOOH,IBUTOLBOOH
1,MPRANO3OO,MPRANO3OO
1,MPRANO3OOH,MPRANO3OOH
1,PE1ENEAOO,PE1ENEAOO
1,PRCHO,PRCHO
1,PE1ENEAOOH,PE1ENEAOOH
1,C51NO32OO,C51NO32OO
1,PRCO3,PRCO3
1,PRCO3H,PRCO3H
1,PBN,PBN
1,NOA3,NOA3
1,PE2ENEAOO,PE2ENEAOO
1,PE2ENEAOOH,PE2ENEAOOH
1,C52NO33OO,C52NO33OO
1,C52NO33OOH,C52NO33OOH
1,NOA2,NOA2
1,DMSO2,DMSO_2
1,H2S,H_2S
1,SH,SH
1,CS2,CS_2
1,OCS,OCS
1,H2SO4,H_2SO_4
1,HCO2,HCO2
1,CH2ONO2,CH2ONO2
1,Me2SO,CH_32SO
1,PERPROACI,PERPROACI
1,PRONO3AO,PRONO_3AO
1,PRONO3BO,PRONO_3BO
1,NO3BU1EO,NO3BU1EO
1,OOBU1ENO,OOBU1ENO
1,C42NO33O,C42NO33O
1,EtO,EtO
1,C51NO32O,C51NO32O
1,Isoprene,Isoprene
1,ISMVKOO,ISMVKOO
1,ISMACROO,ISMACROO
1,MVK,MVK
1,ISMVKOOH,ISMVKOOH
1,MACR,MACR
1,ISMACROOH,ISMACROOH
1,HMVKBOO,HMVKBOO
1,MACO3,MACO3
1,MACROO,MACROO
1,MPAN,MPAN
1,NISOPOO,NISOPOO
1,NISOPOOH,NISOPOOH
2,O2,O_2
2,N2,N_2
2,HClS,HCl_{(S)}
2,H2OS,H_2O_{(S)}
2,HONO2S,HNO_{3(S)}
2,Photon,h\nu
2,RO2,RO_2
2,m,M
2,Ar,Ar
