is_integrated,varname,printname
1,O(1D),O(^1D)
1,O(3P),O(^3P)
1,O3,O_3
1,N,N
1,NO,NO
1,NO2,NO_2
1,NO3,NO_3
1,N2O5,N_2O_5
1,HONO,HONO
1,HONO2,HNO_3
1,HO2NO2,HO_2NO_2
1,Cl,Cl
1,Cl2,Cl_2
1,ClO,ClO
1,ClOO,ClOO
1,OClO,OClO
1,Cl2O2,Cl_2O_2
1,ClNO2,ClNO_2
1,ClONO2,ClONO_2
1,HCl,HCl
1,HOCl,HOCl
1,MeOCl,CH_3OCl
1,Br,Br
1,Br2,Br_2
1,BrO,BrO
1,BrONO2,BrONO_2
1,BrONO,BrONO
1,HBr,HBr
1,HOBr,HOBr
1,BrCl,BrCl
1,H2,H_2
1,H,H
1,OH,OH
1,HO2,HO_2
1,H2O2,H_2O_2
1,CH3,CH_3
1,MeO,CH_3O
1,MeOO,CH_3O_2
1,MeOH,CH_3OH
1,MeOOH,CH_3OOH
1,MeONO2,CH_3ONO_2
1,MeO2NO2,CH_3O_2NO_2
1,HCO,HCO
1,HCHO,HCHO
1,CH4,CH_4
1,CH3Br,CH_3Br
1,CF2Cl2,CF_2Cl_2
1,CO,CO
1,N2O,N_2O
1,CO2,CO_2
1,H2O,H_2O
1,RN10O2,RN_{10}O_2
1,Me2O,CH_3OCH_3
1,C2H6,C_2H_6
1,EtOO,C_2H_5O_2
1,C3H8,C_3H_8
1,IC3H7O2,iC_3H_7O_2
1,NC4H10,nC_4H_{10}
1,RN13O2,RN_{13}O_2
1,NC5H12,nC_5H_{12}
1,RN16O2,RN_{16}O_2
1,NC6H14,nC_6H_{14}
1,RN19O2,RN_{19}O_2
1,NC7H16,nC_7H_{16}
1,RN22O2,RN_{22}O_2
1,NC8H18,nC_8H_{18}
1,RN25O2,RN_{25}O_2
1,NC9H20,nC_9H_{20}
1,RN28O2,RN_{28}O_2
1,NC10H22,nC_{10}H_{22}
1,RN31O2,RN_{31}O_2
1,NC11H24,nC_{11}H_{24}
1,RN34O2,RN_{34}O_2
1,NC12H26,nC_{12}H_{26}
1,RN37O2,RN_{37}O_2
1,IC4H10,iC_4H_{10}
1,RI13O2,RI_{13}O_2
1,IC5H12,iC_5H_{12}
1,RI16O2,RI_{16}O_2
1,NEOP,neopentane
1,M2PE,2-methylpentane
1,M3PE,3-methylpentane
1,M22C4,"2,2-dimethylbutane"
1,M23C4,"2,3-dimethylbutane"
1,M2HEX,2-methylhexane
1,M3HEX,3-methylhexane
1,CHEX,cyclohexane
1,C2H4,C_2H_4
1,HOCH2CH2OO,HOCH_2CH_2O_2
1,C3H6,C_3H_6
1,RN9O2,RN_9O_2
1,BUT1ENE,but1ene
1,RN12O2,RN_{12}O_2
1,PENT1ENE,pent1ene
1,RN15O2,RN_{15}O_2
1,HEX1ENE,Hex1ene
1,RN18O2,RN_{18}O_2
1,CBUT2ENE,c-but2ene
