species_in_total,name
14,NOy
1,N
1,NO
1,NO2
1,NO3
2,N2O5
1,HONO
1,HONO2
1,HO2NO2
1,ClNO2
1,ClONO2
1,BrONO2
1,BrONO
1,MeONO2
1,MeO2NO2
12,ClOy
1,Cl
2,Cl2
1,ClO
1,ClOO
1,OClO
2,Cl2O2
1,ClNO2
1,ClONO2
1,HCl
1,HOCl
1,MeOCl
1,BrCl
8,BrOy
1,Br
2,Br2
1,BrO
1,BrONO2
1,BrONO
1,HBr
1,HOBr
1,BrCl
4,NOx
1,N
1,NO
1,NO2
1,NO3
3,ClOx
1,Cl
1,ClO
2,Cl2O2
2,BrOx
1,Br
1,BrO
3,HOx
1,H
1,OH
1,HO2
3,Hy
1,H2
1,H2O
2,CH4
46,RO2
1,MeOO
1,C2H5O2
1,RN10O2
1,IC3H7O2
1,RN13O2
1,RN16O2
1,RN19O2
1,RN22O2
1,RN25O2
1,RN28O2
1,RN31O2
1,RN34O2
1,RN37O2
1,RI13O2
1,RI16O2
1,CH3CO3
1,RN8O2
1,RN11O2
1,RN14O2
1,RN13O2
1,RN17O2
1,HOCH2CH2O2
1,RN9O2
1,RN12O2
1,RN15O2
1,RN18O2
1,RN21O2
1,RN24O2
1,RN27O2
1,RN30O2
1,RI12O2
1,RI15O2
1,RI24O2
1,NRN6O2
1,NRN9O2
1,NRN12O2
1,NRN15O2
1,NRN18O2
1,NRI12O2
1,NRI15O2
1,NRN11O2
1,NRN14O2
1,RE2O2
1,RE5O2
1,RT28O2
1,NRT28O2
