reaction,download_url,T2,λ2,author_year,comments,λ1,name,doi,T1,fname
ClONO2 → Cl+NO3,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Burrows(1988)_298K_254nm.txt,NaN,NaN,Burrows(1988),"Modulated photolysis, products identified by matrix isolation FTIR.",254.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1021/j100326a020,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Burrows(1988)_298K_254nm.csv
ClONO2 → Cl+NO3,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Chang(1979)_298K_270nm.txt,NaN,NaN,Chang(1979),Based on yield of Cl atoms.,270.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1016/0009-2614(79)80594-1,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Chang(1979)_298K_270nm.csv
ClONO2 → Cl+NO3,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Goldfarb(1997)_298K_193-308nm.txt,NaN,308.0,Goldfarb(1997),"Measure of products Cl, and O(",193.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1021/jp970818f,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Goldfarb(1997)_298K_193-308nm.csv
ClONO2 → Cl+NO3,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Margitan(1983)_298K_266-355nm.txt,NaN,355.0,Margitan(1983),Monitoring Cl by atomic resonance fluorescence.,266.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1021/j100227a029,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Margitan(1983)_298K_266-355nm.csv
ClONO2 → Cl+NO3,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_MarinelliJohnston(1979)_298K_249nm.txt,NaN,NaN,MarinelliJohnston(1979),Monitoring NO,249.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1016/0009-2614(82)83678-6,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_MarinelliJohnston(1979)_298K_249nm.csv
ClONO2 → Cl+NO3,"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Minton(1992)_298K_193,248nm.txt",NaN,248.0,Minton(1992),"Molecular beam technique: measure of products Cl, ClO, and NO",193.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1126/science.258.5086.1342,298.0,"quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Minton(1992)_298K_193,248nm.csv"
ClONO2 → Cl+NO3,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Moore(1995)_298K_308nm.txt,NaN,NaN,Moore(1995),"Molecular beam technique: measure of products Cl, ClO, and NO",308.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1039/FD9950000295,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Moore(1995)_298K_308nm.csv
ClONO2 → Cl+NO3,"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Nelson(1996)_298K_193,248nm.txt",NaN,248.0,Nelson(1996),"Molecular beam technique: measure of products Cl, ClO, and NO",193.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1016/0301-0104(95)00383-5,298.0,"quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Nelson(1996)_298K_193,248nm.csv"
ClONO2 → Cl+NO3,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Nickolaisen(1996)_298K_200-350nm.txt,NaN,350.0,Nickolaisen(1996),NO,200.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1021/jp953612s,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Nickolaisen(1996)_298K_200-350nm.csv
ClONO2 → Cl+NO3,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BCl+NO3%7D_Tyndall(1997)_298K_308nm.txt,NaN,NaN,Tyndall(1997),"Measure of products Cl, and O(",308.0,chlorine nitrate → Cl+NO3, https://doi.org/10.1039/A701585B,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → Cl+NO3/ClONO2{Cl+NO3}_Tyndall(1997)_298K_308nm.csv
