200		37.98			33.83			31.88
205		14.75			12.81			12.02
210		3.526			2.678			2.560
215		1.041			0.711			0.695
220		1.106			0.91			0.834
225		1.687			1.621			1.578
230		2.871			2.744			2.674
235		4.009			3.966			3.874
240		5.092			5.074			4.975
245		5.972			5.947			5.845
250		6.571			6.520			6.414
255		6.796			6.676			6.553
260		6.606			6.433			6.317
265		5.967			5.742			5.625
270		5.126			4.890			4.785
275		4.217			3.978			3.878
280		3.111			2.901			2.817
285		2.166			1.985			1.914
290		1.386			1.249			1.197
295		0.809			0.706			0.668
300		0.425			0.358			0.334
305		0.198			0.159			0.145
310		0.077			0.056			0.048
315		0.024			0.016			0.012
320		0.007			0.005			0.004
325		0.002			0.001			0.001


