200		115.1			110.7
205		86.14			81.89
210		48.19			43.20
215		23.88			20.32
220		10.92			9.179
225		4.759			3.527
230		2.034			1.264
235		0.944			0.430
240		0.774			0.418
245		1.135			0.882
250		1.827			1.633
255		2.799			2.659
260		3.977			3.910
265		5.360			5.388
270		6.722			6.878
275		8.012			8.368
280		9.318			9.625
285		10.08			10.35
290		10.32			10.62
295		9.886			10.06
300		9.019			9.245
305		7.671			7.602
310		6.074			5.942
315		4.572			4.446
320		3.063			2.790
325		1.901			1.741
330		1.121			0.951
335		0.498			0.322
340		0.194			0.114
345		0.086			0.043
350		0.020			0.004
355		0.002			0.000

